,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
coalPrice-19,3.6,3.67152132063264,3.66851122006825,3.7804989128612,3.92645511783508,3.8518710862093,3.86412678729945,3.98153415282261,3.97469413190081,4.004824219131,3.99072641333327,4.01472843015786,4.1025604886372,4.30041237663482,4.401458903978,4.5510838804601,4.6232938471907,4.6193836266495,4.64938223046758,4.61016670665013,4.63533802041937,4.58558093488155,4.56390586645235,4.60527815620851,4.68487117975269,4.82072994342563,4.89399206056871,4.7759238346919,4.92801201768677,4.98254717636048,5.05395552384804,5.11044576377561,5.31160810604866,5.25882028273078,5.21612809498234,5.25605644194197,5.35702330075602,5.49318799289092,5.54979531100536,5.57360295886261,5.61738283250283,5.80614317493268,5.72837045083154,5.76016680427962,5.91382021312529,5.92394484890822,5.91492256254603,5.99290590161987,5.96613865758055,5.88104276198009
coalPrice-20,3.6,3.56246697804746,3.49369222584453,3.53991970603939,3.51172457355827,3.55134414137697,3.66259224086525,3.77437932632133,3.85734478614209,3.88122070248712,4.00882019724333,4.14595395719659,4.18896293374848,4.21309307911585,4.25565129705037,4.31464024851839,4.35983036056276,4.32209267434021,4.36814763709499,4.48311505384068,4.60311058662489,4.65592099207993,4.81105090257343,4.89508416404453,4.91665948031989,4.9322198173559,5.09745171181287,5.07635656519012,5.25457084485103,5.39939461917953,5.49751929809123,5.50964220637237,5.61190440424017,5.61098139725553,5.85869847682982,5.91740041598801,6.05235160494624,6.07750080305091,5.97122115912763,5.99814737100531,6.17062859567066,6.32523105698274,6.39710517780356,6.23970445505445,6.22281243490326,6.10761678836088,6.28688106356691,6.26030826211993,6.38861541930856,6.45058433542521
coalPrice-21,3.6,3.63724497209583,3.62174087310656,3.67677260565062,3.70149648222482,3.78909956680162,3.88514304239088,4.02877100851742,4.10210859918409,4.27498723099579,4.31068784951517,4.49554180110643,4.51248249301802,4.67192877535464,4.80987569468674,4.83693208542143,4.82780807358853,4.74214940707827,4.87350119636348,4.98341217349168,5.02227310349788,4.96496256328448,5.02422958119197,5.06086213398221,5.26192687424518,5.31652450639211,5.41782741852754,5.35652156803423,5.43442574186246,5.34406323628042,5.35781883057457,5.36256379489467,5.25846973734182,5.22028697743545,5.08173216058783,5.06129611618383,5.04827684457489,5.08390572432101,5.22124184189534,5.25106297721043,5.28276669696973,5.14623008639818,5.33638142494413,5.40577587404043,5.34305456323997,5.51674169811323,5.47635944804678,5.51159612061105,5.44838172189452,5.39199143673151
coalPrice-22,3.6,3.72889147016127,3.75340576014444,3.87442734659084,4.03945024699711,4.07405468665599,4.1020633819893,4.17737472922895,4.18276029250336,4.21747739498994,4.27031689123782,4.27395649640885,4.33463576688736,4.29869993318412,4.40534226902638,4.38412583668073,4.36450315276515,4.33128048753247,4.2631088540223,4.22091484133711,4.30921328996696,4.437471591703,4.52112926642305,4.5535763471008,4.54919447160551,4.47910559797021,4.53609800240899,4.48413402509809,4.4740081540348,4.48520554233093,4.53673846463583,4.66407742452102,4.79894536495381,4.90197872894425,4.98230303777608,5.07427860457295,5.0259713146613,4.98419353424874,4.97101151413058,4.95996864099334,4.90629559344773,4.94293545240079,5.1381098398886,5.17184519449922,5.1362429702721,5.09108014790478,5.03863839999266,5.01681125831193,5.1105655794449,5.00949219744579
coalPrice-23,3.6,3.64806298674434,3.74154620562392,3.87979222283615,3.94391440908722,3.96344285726808,3.91151543194152,4.0123468741668,3.90815741009549,3.83487758367316,3.92416948881572,3.91226822060758,3.95032632636603,3.94521663069027,4.00014091528142,3.97203270440746,4.02320366539066,4.06567559740759,4.08972110873704,4.23575416309832,4.1719814307073,4.2850980186097,4.25346209027126,4.13175470780468,4.15789867616296,4.20629909381672,4.31506150560888,4.30557768669768,4.32263317331575,4.40399271290991,4.35193687587644,4.45893660717827,4.40378567994298,4.4950374742988,4.3928080952513,4.46078696031619,4.51647415596129,4.55473023979139,4.54429004044639,4.5669350024506,4.50192111655427,4.44213943046551,4.60067664100219,4.55058870087808,4.51360325838341,4.52169747109451,4.69806864859512,4.80968395475558,4.85653519105713,4.92035158629333
coalPrice-24,3.6,3.62577416412311,3.70629191145486,3.73444021360011,3.82470738683275,3.90562743826648,3.98369214870524,4.04218517921962,4.1393869316617,4.28273035961203,4.24684487439699,4.20914808973762,4.25813719699374,4.2851864355263,4.36223045527695,4.40935689349552,4.49944471398872,4.5918100511537,4.71288783413898,4.6761757411428,4.78917771404117,4.72335057190851,4.63592378682657,4.54579424255866,4.57195678673218,4.4856163788676,4.52820309242869,4.50150176894345,4.53077191578098,4.4866709709781,4.58769307085177,4.71481974261895,4.72272515953801,4.7101747571308,4.79188410576855,4.9722027880274,4.92912419529552,4.86634387883688,4.7361354800149,4.74480308116049,4.72170347044061,4.81368686368878,4.81202174887267,4.82416748287579,4.87750650769646,5.01699429823263,5.16220596937093,5.03273314377256,4.97322195386581,4.99922961176687
coalPrice-25,3.6,3.58251199038778,3.72122525845908,3.72131024995517,3.75057223028041,3.84785679526676,3.94457230925872,3.91332347526389,3.99616233521134,4.04010221955117,4.07420094175,4.04992435805602,4.06789647832244,4.20376747044241,4.27029593594143,4.27169774416468,4.30751264147236,4.43850443310682,4.503748915697,4.57470302210052,4.72647901758304,4.78546634079147,4.81440562266468,4.8318970084386,4.84227320322483,4.86864323716165,4.78827727467539,4.74524093515167,4.85763851054435,4.87322780998007,4.92857635818598,4.97879345125004,4.94225303977104,5.13542345899167,5.23653238323727,5.31946847900653,5.41955082762211,5.48883528778208,5.73059657503945,5.8210291609603,5.97771846813889,6.14324392771716,6.28129512359626,6.54433881488718,6.7695931605397,6.59864781477629,6.57051075593006,6.43848116998073,6.39621917155876,6.50457306917226
coalPrice-26,3.6,3.65609799408118,3.70794634457512,3.7091610459606,3.75272442189262,3.81947523302111,3.78939837316886,3.87792082454314,3.89701649298007,3.90112580904492,3.86234894528733,3.85426883131106,3.88089022365477,3.8312713017723,3.86855422615648,3.95957332060134,4.09355355059104,4.06766766094054,4.05780321604185,4.0505686681856,4.05351886157538,4.12220971186917,4.17867341576117,4.23234905696104,4.23098634212774,4.35857737730758,4.32719780017663,4.47238981731996,4.50357724028823,4.49088421632691,4.59103678034224,4.52481276228098,4.65720328508802,4.67072037684332,4.77547322583482,4.79793530522587,4.9036301438094,4.8111116048277,4.861980460733,4.97817802907504,4.97164100945575,4.96917682380539,4.96541579787042,4.86572172510366,4.7933324412677,4.84893267450491,4.90380300387846,4.80932618841188,4.99224049601954,4.88992719267592
coalPrice-27,3.6,3.68407400659422,3.69528025378095,3.83895707495741,3.77286546104473,3.88287711474015,4.055427797393,4.17502866054843,4.18994658932852,4.33460945148614,4.54418644912156,4.61655678605129,4.58294958923696,4.79093871300659,4.83672823189166,4.80515314959284,4.8809523211736,4.93438137389318,5.06475512783862,5.11771326505798,5.14311695307739,5.26767609183376,5.29864939979263,5.33999134318193,5.41095678242762,5.54418818954015,5.52712950007053,5.69945701610212,5.89177237378175,6.03907171663223,6.10610916617187,6.29168711304902,6.27615054381742,6.41027593832079,6.57827982041623,6.49403330888476,6.53292822167708,6.66240764178937,6.90349854525109,6.99200929025157,7.19679427932208,7.19900173109369,7.50794511435093,7.69063721048948,7.52009659342222,7.81503888592726,7.70952120530247,7.93078302278896,8.05375795944824,8.38213896397553
coalPrice-28,3.6,3.680304641176,3.62090042482938,3.61931312949574,3.65198028984167,3.54680886098911,3.57959200996233,3.68411641678537,3.68554077810451,3.80212281402529,3.93260888290251,3.96129440483728,3.98098143518772,4.09781488636305,4.18057052945519,4.13893996733972,4.11737179792331,4.16302241356767,4.21712140881301,4.19248853002591,4.26624820577602,4.26966424632621,4.27738571166284,4.34645324385939,4.38554369273873,4.41702641795261,4.59209347674938,4.58625072304902,4.73002150959079,4.61241331848285,4.72460791662292,4.92949164787014,5.01510568666217,5.09701126608116,5.12399416602318,5.14782672800406,5.1788271748944,5.18770844914776,5.22357266813958,5.16091246310065,5.25538390160428,5.48173314376476,5.58488777072403,5.64214325577206,5.58103664383273,5.50974617952848,5.38786972433096,5.41798297603224,5.41005019673088,5.43821589392346
